Q1(S),Q2(A),Q3(D),Q4(A),Q5(D),Q6(S),Q7(A),Q8(S),Q9(A),Q10(D),Q11(S),Q12(S),Q13(D),Q14(S),Q15(A),Q16(D),Q17(D),Q18(S),Q19(A),Q20(A),Q21(D),TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,familysize,Str,Anx,Dep,Depression,Anxiety,Stress,family,family_enc,age class,age_enc
2,0,3,0,3,2,1,1,0,0,1,1,2,3,0,3,0,2,3,0,0,5,7,2,6,6,6,2,7,1,2,4,3,2,26,2,24,8,22,3,1,2,Nuclear,2,26-35,1
1,0,1,2,3,1,1,1,1,2,2,2,3,2,1,2,2,1,0,1,1,2,5,1,6,4,6,6,5,4,4,2,2,1,40,2,20,12,28,4,2,2,Nuclear,2,36-45,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,1,6,3,4,2,6,1,2,2,1,18,2,0,2,0,0,0,0,Nuclear,2,18-25,0
1,0,0,0,1,1,0,2,1,0,2,1,0,1,1,2,0,1,2,1,0,5,6,4,5,7,6,5,1,4,2,3,3,2,27,2,18,10,6,0,2,1,Nuclear,2,26-35,1
0,1,2,0,2,0,0,1,2,3,1,2,2,0,0,1,3,1,0,0,3,1,1,4,1,4,6,2,6,4,7,3,3,1,28,3,10,6,32,4,0,0,Nuclear,2,26-35,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,7,1,6,4,1,1,6,2,2,3,1,18,2,4,0,0,0,0,0,Nuclear,2,18-25,0
0,0,1,0,2,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,1,5,2,7,5,5,3,7,2,5,5,3,3,2,60,2,4,0,18,2,0,0,Nuclear,2,46-60,3
1,2,1,1,2,3,2,2,2,2,2,2,2,1,3,1,1,0,2,2,1,2,5,4,7,4,6,4,4,3,7,3,3,2,20,3,22,28,20,2,4,2,Nuclear,2,18-25,0
3,1,3,1,3,0,1,0,1,2,2,1,3,1,1,3,2,2,2,1,3,6,5,6,3,7,6,5,5,4,6,3,1,2,21,8,18,16,38,4,3,1,Joint,1,18-25,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,4,6,0,5,4,5,5,4,2,2,2,1,18,2,4,0,2,0,0,0,Nuclear,2,18-25,0
2,1,1,2,3,1,1,2,3,1,1,2,2,1,2,1,1,2,2,2,1,1,5,2,7,3,7,3,5,1,3,2,1,2,20,2,22,26,20,2,4,2,Nuclear,2,18-25,0
3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,1,1,4,7,4,7,7,4,1,4,4,2,2,37,2,36,42,40,4,4,4,Nuclear,2,36-45,2
2,3,1,1,3,1,1,1,0,2,1,3,3,2,1,1,3,3,2,0,2,4,1,7,3,6,5,4,3,3,2,2,2,1,18,2,26,16,30,4,3,3,Nuclear,2,18-25,0
3,0,2,0,3,1,0,2,0,0,1,2,3,1,0,2,2,0,0,0,2,1,1,1,6,6,7,5,4,1,4,4,2,1,46,3,20,0,28,4,0,2,Nuclear,2,46-60,3
0,0,1,0,3,1,0,1,0,3,0,0,2,0,0,1,3,0,0,1,2,6,6,3,5,7,3,6,3,3,5,3,2,1,57,12,4,2,30,4,0,0,Extended,0,46-60,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,4,7,7,1,7,4,4,3,1,26,1,0,0,0,0,0,0,Nuclear,2,26-35,1
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,7,2,6,7,7,1,6,5,2,3,2,41,7,6,0,2,0,0,0,Joint,1,36-45,2
0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,3,2,7,6,7,5,7,2,3,1,2,22,2,2,4,4,0,0,0,Nuclear,2,18-25,0
1,0,2,0,3,1,0,0,0,2,2,2,1,3,0,2,0,2,0,0,1,1,6,7,5,2,6,2,1,3,3,4,3,2,55,1,22,0,22,3,0,2,Nuclear,2,46-60,3
0,0,1,0,3,0,1,1,0,0,0,2,1,0,1,0,0,0,1,0,0,3,5,6,6,7,2,6,6,3,2,2,2,2,19,3,6,6,10,1,0,0,Nuclear,2,18-25,0
1,0,1,0,3,1,0,1,1,0,0,1,1,3,2,2,2,0,1,0,0,1,3,4,5,6,7,5,5,3,5,2,3,1,19,2,14,8,18,2,1,0,Nuclear,2,18-25,0
3,1,1,0,2,3,1,3,0,1,3,2,3,3,2,1,2,1,1,1,2,4,5,7,7,4,7,7,1,1,5,2,2,2,28,6,36,12,24,3,2,4,Joint,1,26-35,1
0,0,2,0,2,1,0,3,0,3,0,1,3,0,2,2,3,0,0,0,1,6,3,6,2,7,2,7,3,7,5,3,2,2,23,1,10,4,32,4,0,0,Nuclear,2,18-25,0
0,1,2,0,3,1,1,0,0,3,1,1,3,1,3,3,3,2,0,1,3,2,6,2,5,2,5,2,7,2,5,2,1,1,18,4,12,12,40,4,2,0,Nuclear,2,18-25,0
2,0,1,0,2,1,0,1,0,2,1,1,3,0,1,2,1,0,1,0,1,5,6,2,5,7,4,7,6,1,2,2,3,2,22,2,12,4,24,3,0,0,Nuclear,2,18-25,0
2,0,1,2,1,1,1,2,2,1,0,2,1,1,0,1,0,1,1,1,1,2,6,3,7,2,6,6,6,3,5,2,1,2,36,2,18,14,12,1,2,1,Nuclear,2,36-45,2
1,0,0,3,1,2,0,1,0,1,1,0,1,1,1,0,0,0,2,1,1,6,5,3,7,7,2,6,5,2,4,3,3,2,25,1,12,14,8,0,2,0,Nuclear,2,18-25,0
1,2,2,0,3,2,0,2,2,3,2,2,3,2,0,3,2,1,0,1,2,2,4,6,6,6,4,7,2,5,2,3,3,2,34,0,24,10,36,4,2,2,Nuclear,2,26-35,1
2,2,0,0,1,1,3,3,0,0,3,2,3,0,1,0,0,2,3,0,0,6,2,3,5,6,1,7,2,1,1,4,3,2,30,1,26,18,8,0,3,3,Nuclear,2,26-35,1
1,2,2,1,3,1,1,1,1,3,1,1,3,2,1,2,2,2,2,1,2,2,6,1,6,2,5,3,7,1,2,2,1,1,28,1,18,18,34,4,3,1,Nuclear,2,26-35,1
1,2,1,1,2,2,1,2,3,1,2,2,1,2,2,2,1,3,2,0,2,2,3,3,5,5,4,5,7,3,1,2,3,2,19,2,28,22,20,2,4,3,Nuclear,2,18-25,0
1,0,1,1,3,1,0,1,0,3,1,1,3,1,1,3,2,1,0,1,1,2,1,5,5,5,6,6,5,4,5,4,2,2,32,1,14,6,32,4,0,0,Nuclear,2,26-35,1
1,0,0,0,1,2,0,1,0,0,2,1,2,1,1,1,1,1,0,0,1,6,3,6,3,7,5,6,2,4,2,3,1,2,22,2,18,2,12,1,0,1,Nuclear,2,18-25,0
2,0,3,0,2,1,2,3,1,0,1,2,2,3,1,3,1,3,1,0,2,3,5,6,7,5,7,1,5,2,5,3,3,2,40,2,30,10,26,3,2,3,Nuclear,2,36-45,2
