Q1(S),Q2(A),Q3(D),Q4(A),Q5(D),Q6(S),Q7(A),Q8(S),Q9(A),Q10(D),Q11(S),Q12(S),Q13(D),Q14(S),Q15(A),Q16(D),Q17(D),Q18(S),Q19(A),Q20(A),Q21(D),TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,familysize,Str,Anx,Dep,Depression,Anxiety,Stress,family,family_enc,age class,age_enc
3,0,3,1,2,3,1,2,1,3,1,2,3,1,0,2,2,3,0,2,2,5,5,4,7,6,1,5,7,1,3,3,3,2,19,4,30,10,34,4,2,3,Nuclear,2,18-25,0
3,0,1,0,1,1,3,1,1,1,0,1,1,0,1,0,1,0,1,1,1,4,4,7,7,5,5,3,2,3,4,2,3,2,19,4,12,14,12,1,2,0,Nuclear,2,18-25,0
0,1,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,2,0,0,0,4,4,5,6,4,6,5,7,4,4,3,1,2,23,4,10,8,0,0,1,0,Nuclear,2,18-25,0
3,2,1,2,1,1,1,2,3,1,2,2,2,2,3,1,1,2,3,3,0,6,6,7,6,5,4,6,0,1,5,3,2,2,21,4,28,34,14,2,4,3,Nuclear,2,18-25,0
3,0,3,3,3,3,0,2,3,3,3,3,3,3,0,2,3,2,3,3,3,6,7,7,7,7,6,4,5,2,5,3,3,2,21,1,38,24,40,4,4,4,Nuclear,2,18-25,0
1,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,4,6,6,5,4,5,4,5,4,4,2,1,2,20,4,14,2,6,0,0,0,Nuclear,2,18-25,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,5,7,6,5,2,6,6,2,1,2,20,2,2,6,2,0,0,0,Nuclear,2,18-25,0
0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,3,7,1,6,2,5,2,6,4,4,2,2,23,5,6,6,2,0,0,0,Nuclear,2,18-25,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,6,5,6,5,5,1,5,5,4,3,2,21,5,4,4,8,0,0,0,Nuclear,2,18-25,0
1,0,1,0,2,3,1,2,2,2,1,0,1,3,3,2,1,3,2,0,1,5,3,4,7,4,5,1,7,1,6,3,1,2,19,3,26,16,20,2,3,3,Nuclear,2,18-25,0
2,3,1,1,2,1,0,2,1,2,2,3,2,1,2,3,1,3,2,2,1,4,7,5,6,6,4,7,6,1,6,3,2,2,20,4,28,22,24,3,4,3,Nuclear,2,18-25,0
3,0,1,0,3,1,0,1,3,0,1,3,3,1,0,1,1,1,0,1,0,3,5,6,7,7,5,3,2,3,5,2,3,2,18,2,22,8,18,2,1,2,Nuclear,2,18-25,0
1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,4,3,5,5,4,4,5,5,5,4,4,3,2,25,2,16,16,16,2,3,1,Nuclear,2,18-25,0
0,0,0,0,0,1,0,1,1,0,3,1,2,0,1,0,2,0,2,1,1,6,5,4,4,4,3,6,7,3,4,2,2,2,18,2,12,10,10,1,2,0,Nuclear,2,18-25,0
1,0,0,0,1,1,1,2,0,0,2,2,0,1,1,0,0,0,1,0,0,4,6,5,5,6,5,7,5,3,3,3,3,2,23,3,18,6,2,0,0,1,Nuclear,2,18-25,0
3,3,1,0,2,3,3,3,3,3,2,3,3,2,0,1,3,1,0,1,3,4,4,7,4,6,4,6,4,4,5,3,3,2,25,6,34,20,32,4,4,4,Joint,1,18-25,0
0,3,2,0,3,0,0,2,3,3,2,0,1,0,1,0,3,0,2,0,0,5,1,4,4,6,7,7,7,7,4,3,1,1,21,3,8,18,24,3,3,0,Nuclear,2,18-25,0
1,2,0,1,1,2,0,1,3,1,1,2,1,1,2,2,2,3,0,2,1,3,5,6,7,3,2,6,5,2,5,3,2,2,25,5,22,20,16,2,4,2,Nuclear,2,18-25,0
1,0,0,0,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1,0,6,5,6,6,6,4,4,3,3,3,2,2,1,18,3,16,8,8,0,1,1,Nuclear,2,18-25,0
3,2,2,2,1,3,1,2,3,0,2,2,1,3,2,2,2,2,3,3,2,3,7,6,6,5,5,7,1,2,2,2,3,2,19,3,34,32,20,2,4,4,Nuclear,2,18-25,0
3,3,1,0,3,3,1,1,3,2,2,3,3,3,3,1,3,3,3,3,1,1,1,1,7,7,7,7,7,1,7,0,1,2,22,4,36,32,28,4,4,4,Nuclear,2,18-25,0
0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,2,6,4,5,2,6,2,3,1,1,22,5,0,10,0,0,2,0,Nuclear,2,18-25,0
1,2,0,1,2,1,1,1,3,1,1,1,1,2,1,2,2,1,1,1,1,4,1,6,6,6,5,6,1,5,4,2,2,2,18,3,16,20,18,2,4,1,Nuclear,2,18-25,0
2,1,0,0,0,2,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,6,5,7,3,5,2,5,3,4,3,3,3,2,22,3,10,4,8,0,0,0,Nuclear,2,18-25,0
3,0,1,1,3,1,1,1,1,3,1,1,3,1,0,1,3,1,1,1,1,5,6,7,6,6,3,6,4,3,6,3,1,2,21,3,18,10,30,4,2,1,Nuclear,2,18-25,0
0,1,0,0,1,0,0,0,2,2,0,1,0,1,0,1,1,3,0,0,0,5,2,7,4,7,6,5,6,4,7,3,3,2,20,2,10,6,10,1,0,0,Nuclear,2,18-25,0
3,2,2,2,1,3,1,1,1,3,2,2,3,2,1,2,3,1,1,3,3,5,6,6,7,7,1,1,7,1,5,4,3,2,26,3,28,22,34,4,4,3,Nuclear,2,26-35,1
3,1,1,0,3,1,1,2,3,1,2,0,2,3,3,3,3,3,2,3,3,5,4,6,7,6,7,6,7,1,7,3,1,2,19,6,28,26,32,4,4,3,Joint,1,18-25,0
2,0,3,1,1,3,2,1,3,3,3,0,0,2,0,1,3,2,0,1,3,4,2,6,6,7,5,5,5,2,2,3,2,2,19,4,26,14,28,4,2,3,Nuclear,2,18-25,0
1,3,1,3,3,0,3,3,3,1,3,1,2,2,3,0,1,3,3,2,0,5,7,7,7,7,2,6,2,2,1,3,2,2,21,5,26,40,16,2,4,3,Nuclear,2,18-25,0
2,3,1,1,2,2,3,2,2,2,1,3,3,1,2,2,3,1,0,3,1,5,6,6,6,7,6,5,2,5,4,3,2,2,20,4,24,28,28,4,4,2,Nuclear,2,18-25,0
1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,4,4,3,6,4,5,6,3,3,3,2,3,2,19,3,14,6,10,1,0,0,Nuclear,2,18-25,0
3,3,1,3,3,2,3,2,3,1,1,1,3,2,2,2,2,2,1,3,1,5,7,6,6,6,4,7,5,5,6,2,2,2,19,4,26,36,26,3,4,3,Nuclear,2,18-25,0
3,0,1,0,1,3,0,0,0,3,1,1,1,3,0,2,3,3,0,1,3,7,4,3,5,4,1,3,6,3,5,3,3,2,20,3,28,2,28,4,0,3,Nuclear,2,18-25,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,4,5,3,6,4,6,5,6,2,3,2,1,23,3,0,0,8,0,0,0,Nuclear,2,18-25,0
3,2,3,3,3,3,3,3,3,3,0,3,3,2,3,3,1,3,3,3,1,4,0,0,0,0,0,0,0,4,0,3,1,2,20,2,34,40,34,4,4,4,Nuclear,2,18-25,0
3,1,0,0,1,1,0,1,2,0,2,1,2,2,1,1,0,2,1,0,0,6,6,5,6,6,1,6,5,5,4,2,2,2,19,3,24,10,8,0,2,2,Nuclear,2,18-25,0
0,2,0,0,2,1,1,1,1,0,2,1,0,1,2,1,1,1,1,1,0,4,6,1,3,5,4,5,7,6,1,2,3,2,22,6,14,16,8,0,3,0,Joint,1,18-25,0
3,3,2,2,1,3,2,2,2,3,2,3,3,3,2,1,3,3,1,1,3,4,4,5,7,6,5,6,4,2,7,3,1,2,27,8,38,26,32,4,4,4,Joint,1,26-35,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,6,5,5,5,6,4,5,4,3,3,2,26,4,14,12,14,2,2,0,Nuclear,2,26-35,1
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,5,5,6,4,6,7,6,3,5,4,4,1,2,20,1,4,4,4,0,0,0,Nuclear,2,18-25,0
1,2,1,0,3,2,1,2,3,0,0,1,1,3,1,1,0,2,1,3,0,6,5,2,5,3,7,4,6,2,5,2,2,2,20,5,22,22,12,1,4,2,Nuclear,2,18-25,0
1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,4,4,6,5,6,5,6,5,5,4,2,1,2,19,6,6,10,10,1,2,0,Joint,1,18-25,0
1,3,1,3,3,0,3,0,0,1,1,3,3,2,3,2,3,3,3,0,3,5,5,1,7,2,6,4,3,1,1,3,3,1,20,4,20,30,32,4,4,2,Nuclear,2,18-25,0
1,2,1,2,1,1,2,3,1,1,2,3,3,1,3,1,1,1,1,3,1,3,3,5,6,4,5,2,3,1,4,2,3,2,19,2,24,28,18,2,4,2,Nuclear,2,18-25,0
1,0,3,0,3,2,0,2,1,3,3,1,3,1,0,3,3,1,1,3,3,2,5,5,6,2,7,7,4,2,3,4,1,2,25,3,22,10,42,4,2,2,Nuclear,2,18-25,0
1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,4,2,5,4,5,2,5,3,5,2,3,3,2,20,8,6,4,8,0,0,0,Joint,1,18-25,0
1,1,1,0,1,1,0,2,0,1,1,2,0,0,0,1,1,0,1,1,1,6,4,5,4,6,4,4,4,4,4,3,2,2,22,8,14,6,12,1,0,0,Joint,1,18-25,0
1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,2,1,0,0,1,0,5,6,5,6,6,5,7,5,5,5,4,3,2,24,6,12,6,12,1,0,0,Joint,1,18-25,0
1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,4,2,6,5,6,6,6,3,5,3,3,2,20,4,14,10,16,2,2,0,Nuclear,2,18-25,0
1,1,1,0,1,3,1,1,2,2,1,1,3,2,1,1,2,3,2,2,0,5,5,6,6,6,7,7,6,3,7,3,3,2,18,5,24,18,20,2,3,2,Nuclear,2,18-25,0
2,0,2,1,1,3,1,1,3,0,1,1,1,1,1,1,3,2,1,2,1,4,4,5,5,4,5,7,3,3,4,3,3,2,19,4,22,18,18,2,3,2,Nuclear,2,18-25,0
1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,5,6,5,7,6,6,5,2,2,2,18,1,16,16,14,2,3,1,Nuclear,2,18-25,0
2,0,1,0,2,1,1,2,1,3,1,1,2,1,1,3,2,1,1,3,3,2,5,6,6,7,7,6,4,5,0,2,1,2,19,4,18,14,32,4,2,1,Nuclear,2,18-25,0
3,1,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,7,7,7,1,2,4,7,1,4,2,3,2,18,1,42,32,42,4,4,4,Nuclear,2,18-25,0
0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2,1,0,0,7,6,4,5,6,2,5,6,4,5,3,2,2,19,7,10,8,2,0,1,0,Joint,1,18-25,0
2,1,0,0,1,2,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,5,2,6,1,5,6,6,1,7,2,2,3,2,20,6,16,6,4,0,0,1,Joint,1,18-25,0
2,1,1,0,0,1,0,0,1,1,1,1,2,1,0,1,2,0,1,1,1,5,2,4,6,7,4,4,2,4,4,3,3,2,22,5,12,8,16,2,1,0,Nuclear,2,18-25,0
1,0,0,0,3,2,0,1,1,1,1,1,2,2,0,0,2,1,0,0,2,5,6,2,6,3,4,7,4,3,4,3,3,2,25,3,18,2,20,2,0,1,Nuclear,2,18-25,0
3,0,1,3,2,3,3,1,3,2,1,3,1,1,2,1,3,0,1,1,1,1,1,6,7,2,1,7,5,1,2,3,3,2,21,3,24,26,22,3,4,2,Nuclear,2,18-25,0
3,3,3,3,1,3,0,0,1,0,1,0,3,0,0,1,3,0,1,0,3,7,4,7,1,7,4,5,1,4,3,3,2,2,19,3,14,16,28,4,3,0,Nuclear,2,18-25,0
0,2,0,1,1,0,1,2,1,0,1,0,0,1,0,1,0,0,1,2,0,5,4,6,6,6,7,6,3,7,4,0,1,1,23,7,8,16,4,0,3,0,Joint,1,18-25,0
1,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,6,7,6,1,7,4,7,5,7,5,3,1,2,20,3,10,8,0,0,1,0,Nuclear,2,18-25,0
0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,3,0,0,2,7,5,6,5,6,3,5,6,4,5,3,3,2,21,8,14,0,12,1,0,0,Joint,1,18-25,0
3,3,0,1,1,1,0,1,2,3,1,1,3,2,0,1,0,0,0,1,2,1,3,7,7,4,6,6,3,4,6,3,2,2,21,5,18,14,20,2,2,1,Nuclear,2,18-25,0
2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,3,2,2,1,1,4,2,7,4,6,6,7,1,4,2,2,2,2,20,3,26,22,26,3,4,3,Nuclear,2,18-25,0
1,2,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,0,0,1,2,3,4,3,3,5,4,3,5,5,5,2,3,2,21,5,10,16,18,2,3,0,Nuclear,2,18-25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,5,2,2,1,5,5,6,2,3,3,2,21,6,2,0,0,0,0,0,Joint,1,18-25,0
1,0,1,3,1,3,1,3,2,0,1,2,3,1,3,1,1,1,3,0,1,6,6,6,7,6,6,7,3,4,6,3,3,2,23,4,24,24,16,2,4,2,Nuclear,2,18-25,0
3,0,2,0,1,3,0,2,3,0,1,1,3,2,1,0,3,3,0,3,1,7,7,7,7,6,7,6,7,6,7,3,2,2,20,0,30,14,20,2,2,3,Nuclear,2,18-25,0
3,2,3,2,2,2,1,1,2,3,3,3,3,3,2,2,3,2,2,1,2,2,6,2,7,2,6,6,6,2,5,3,2,2,20,2,34,24,36,4,4,4,Nuclear,2,18-25,0
3,3,1,2,3,3,2,1,1,1,0,1,1,1,1,2,1,1,1,3,1,3,5,2,6,4,2,7,2,3,4,2,1,2,19,4,20,26,20,2,4,2,Nuclear,2,18-25,0
3,3,2,2,2,1,1,2,3,1,1,2,3,1,2,2,3,3,1,1,2,4,5,6,6,4,7,7,3,3,4,3,3,2,20,6,26,26,30,4,4,3,Joint,1,18-25,0
1,0,0,1,2,1,1,0,2,0,2,1,1,2,2,0,1,3,2,1,0,6,7,6,3,6,2,3,4,4,2,3,3,2,20,4,20,18,8,0,3,2,Nuclear,2,18-25,0
1,1,0,0,1,1,0,2,2,2,0,3,2,1,0,1,2,0,0,0,1,0,0,6,4,7,4,5,6,5,2,2,2,1,19,3,16,6,18,2,0,1,Nuclear,2,18-25,0
1,0,1,3,1,3,3,1,3,3,2,3,3,1,3,0,3,3,0,3,3,1,5,6,7,1,2,1,7,1,7,3,3,2,18,1,28,30,28,4,4,3,Nuclear,2,18-25,0
3,2,2,1,2,0,3,2,2,3,2,2,3,1,1,3,3,3,3,2,3,4,4,3,6,5,7,5,4,2,1,2,3,1,18,2,26,28,38,4,4,3,Nuclear,2,18-25,0
2,3,2,2,2,2,1,1,3,0,1,0,2,1,1,0,3,2,2,3,0,5,1,5,6,7,7,7,5,5,6,3,3,2,22,4,18,30,18,2,4,1,Nuclear,2,18-25,0
0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,5,4,6,6,4,3,6,4,4,3,2,1,2,18,3,4,8,2,0,1,0,Nuclear,2,18-25,0
0,0,1,0,1,1,0,0,1,0,0,2,2,0,0,1,2,0,0,1,1,4,4,6,5,6,7,5,4,5,4,3,2,2,19,2,6,4,16,2,0,0,Nuclear,2,18-25,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,1,7,4,6,1,7,5,4,3,2,26,4,4,0,0,0,0,0,Nuclear,2,26-35,1
2,2,1,0,3,1,1,1,2,1,1,1,1,1,3,2,2,3,1,3,2,2,2,5,6,5,7,6,5,2,5,3,2,2,22,4,20,24,24,3,4,2,Nuclear,2,18-25,0
2,1,2,1,1,1,1,1,1,3,2,2,3,2,1,1,1,0,2,2,2,5,6,7,6,6,4,4,1,3,5,3,1,2,23,1,20,18,26,3,3,2,Nuclear,2,18-25,0
1,0,1,0,2,1,0,0,1,1,1,2,1,1,0,2,1,1,0,1,1,4,5,5,5,5,7,5,5,4,7,4,3,2,23,2,14,4,18,2,0,0,Nuclear,2,18-25,0
3,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,6,1,7,1,6,4,4,1,5,3,1,2,23,6,38,36,38,4,4,4,Joint,1,18-25,0
2,0,3,0,1,3,0,1,2,1,1,1,2,1,1,1,1,3,1,1,1,5,4,5,7,6,3,6,6,3,5,3,3,2,22,4,24,10,20,2,2,2,Nuclear,2,18-25,0
1,2,0,0,3,1,0,1,1,1,1,2,1,1,1,2,0,2,0,1,0,6,5,5,4,7,1,6,5,5,2,3,3,2,20,5,18,10,14,2,2,1,Nuclear,2,18-25,0
1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,3,1,1,0,5,1,6,5,6,3,2,2,6,3,4,3,2,23,8,12,8,6,0,1,0,Joint,1,18-25,0
1,0,1,0,1,1,0,0,1,0,1,2,1,1,1,0,1,1,1,0,2,6,4,6,6,6,3,6,5,6,4,3,3,2,19,0,14,6,12,1,0,0,Nuclear,2,18-25,0
1,2,1,0,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,6,3,3,4,5,4,4,4,4,3,2,2,2,20,6,10,8,16,2,1,0,Joint,1,18-25,0
1,1,1,0,2,2,0,1,2,1,2,2,2,2,1,2,2,2,1,2,2,5,5,6,6,5,7,5,5,2,6,3,3,2,20,4,24,14,24,3,2,2,Nuclear,2,18-25,0
1,2,1,0,2,1,1,3,1,3,2,2,2,2,3,3,1,3,1,1,2,5,6,6,5,4,7,7,6,6,7,3,0,2,22,0,28,18,28,4,3,3,Nuclear,2,18-25,0
1,1,0,0,2,1,0,2,2,0,2,1,1,1,2,2,1,3,1,1,2,5,2,6,6,4,2,4,3,2,3,3,3,2,19,4,22,14,16,2,2,2,Nuclear,2,18-25,0
3,1,1,0,1,1,0,0,2,1,0,1,1,2,0,1,1,3,2,1,1,2,3,2,3,2,2,3,2,2,2,2,3,2,20,5,20,12,14,2,2,2,Nuclear,2,18-25,0
2,1,3,2,2,2,3,2,2,1,1,2,3,1,3,2,3,1,2,3,3,3,4,6,7,4,5,6,4,4,5,3,3,2,20,3,22,32,34,4,4,2,Nuclear,2,18-25,0
2,2,1,0,0,0,1,1,2,3,0,1,1,1,0,1,1,3,0,1,2,3,5,6,7,2,7,7,4,4,5,4,1,2,22,4,16,12,18,2,2,1,Nuclear,2,18-25,0
1,1,1,0,1,1,2,1,0,1,0,0,1,1,1,0,0,1,1,2,0,4,5,4,5,5,2,2,6,3,4,3,2,2,19,4,10,14,8,0,2,0,Nuclear,2,18-25,0
1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,3,5,5,5,4,3,5,3,4,4,4,2,2,24,7,6,4,6,0,0,0,Joint,1,18-25,0
1,2,1,0,0,0,0,1,2,0,1,1,1,1,1,1,1,1,1,1,0,5,4,6,5,6,4,5,6,5,5,3,2,2,19,3,12,14,8,0,2,0,Nuclear,2,18-25,0
2,2,1,0,1,2,1,2,2,1,2,1,3,1,1,2,3,3,3,1,2,1,3,7,5,3,4,3,3,3,2,3,3,2,19,4,26,20,26,3,4,3,Nuclear,2,18-25,0
1,0,2,1,2,1,0,1,2,3,2,1,2,2,1,2,3,3,0,1,2,1,3,5,6,5,6,5,2,4,4,4,2,1,24,3,22,10,32,4,2,2,Nuclear,2,18-25,0
1,3,0,1,1,3,2,1,1,0,1,1,1,0,1,1,0,3,1,1,0,3,5,7,6,6,1,7,1,5,7,3,3,2,22,3,20,20,6,0,4,2,Nuclear,2,18-25,0
3,2,3,1,3,2,2,1,3,3,2,3,3,3,1,3,3,3,1,1,3,2,2,5,7,2,7,7,6,2,6,3,1,1,29,6,34,22,42,4,4,4,Joint,1,26-35,1
0,0,1,0,0,1,2,2,2,2,1,1,3,1,0,0,2,1,1,2,1,1,4,6,5,4,6,6,6,2,6,3,2,2,22,5,14,14,18,2,2,0,Nuclear,2,18-25,0
1,2,0,2,3,2,1,0,3,3,2,2,1,3,0,1,2,3,2,0,1,5,6,7,3,6,6,5,3,5,7,2,3,2,20,3,26,20,22,3,4,3,Nuclear,2,18-25,0
3,1,1,0,3,3,0,1,3,2,2,1,1,3,1,1,2,3,0,3,1,3,2,6,7,5,6,5,5,3,5,3,2,2,22,4,32,16,22,3,3,3,Nuclear,2,18-25,0
3,3,1,2,3,1,3,1,3,3,2,2,3,1,2,3,3,3,1,3,3,5,5,5,6,3,4,4,7,2,2,4,3,2,25,4,26,34,38,4,4,3,Nuclear,2,18-25,0
1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,5,2,4,4,5,6,6,6,6,3,3,1,2,28,9,8,4,6,0,0,0,Joint,1,26-35,1
1,3,2,0,0,1,0,0,1,1,1,1,2,2,1,0,1,1,1,0,1,5,5,6,6,4,7,5,5,4,3,3,3,2,22,3,14,12,14,2,2,0,Nuclear,2,18-25,0
2,1,1,0,1,1,0,1,2,2,1,1,1,2,2,1,1,2,1,2,1,3,4,3,6,4,5,6,5,3,5,2,2,1,23,4,20,16,16,2,3,2,Nuclear,2,18-25,0
1,2,1,2,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,0,2,5,5,6,6,7,5,5,4,3,5,3,2,2,21,5,12,18,16,2,3,0,Nuclear,2,18-25,0
1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,2,1,1,0,3,4,6,5,5,4,5,5,3,3,2,2,2,22,2,16,8,6,0,1,1,Nuclear,2,18-25,0
3,1,3,0,1,1,3,1,2,2,1,1,2,1,2,1,1,2,2,1,1,5,5,6,6,4,3,4,3,2,5,3,3,2,22,4,20,22,22,3,4,2,Nuclear,2,18-25,0
3,3,2,1,1,3,1,3,3,2,2,2,3,1,2,1,2,2,3,3,1,6,6,6,6,7,5,6,7,4,5,2,2,2,20,2,32,32,24,3,4,3,Nuclear,2,18-25,0
3,2,3,3,1,3,3,2,3,3,3,3,3,3,1,3,3,3,1,3,3,1,5,5,6,4,7,7,4,2,2,2,2,2,18,0,40,32,38,4,4,4,Nuclear,2,18-25,0
3,3,3,2,1,1,3,3,1,3,3,2,3,1,1,1,1,3,0,3,3,4,2,4,6,5,6,4,3,4,3,2,1,2,20,5,32,26,30,4,4,3,Nuclear,2,18-25,0
2,3,2,3,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,0,4,4,6,7,5,5,6,2,6,5,2,2,1,21,3,24,30,18,2,4,2,Nuclear,2,18-25,0
3,3,1,2,3,2,3,2,3,2,1,3,3,2,3,2,3,3,3,3,2,4,6,7,4,5,3,4,7,4,4,3,2,2,18,5,32,40,32,4,4,3,Nuclear,2,18-25,0
1,3,3,0,2,0,1,0,3,3,0,1,3,1,2,2,3,3,0,2,3,4,4,3,4,2,4,4,4,3,3,3,2,1,20,2,12,22,38,4,4,0,Nuclear,2,18-25,0
3,1,0,0,1,1,1,0,1,1,1,2,2,1,0,0,1,0,0,1,0,6,2,5,6,4,2,5,5,4,2,3,1,2,22,5,16,8,10,1,1,1,Nuclear,2,18-25,0
2,1,1,0,0,1,0,0,2,1,0,0,1,2,0,1,2,1,0,0,0,6,4,5,5,6,5,7,7,4,3,3,3,2,21,3,12,6,12,1,0,0,Nuclear,2,18-25,0
2,0,2,0,2,1,0,0,1,1,1,0,0,0,0,1,1,2,0,1,0,1,1,3,6,5,5,0,5,5,3,3,3,2,20,5,12,4,14,2,0,0,Nuclear,2,18-25,0
3,2,2,2,1,2,3,3,3,2,3,3,2,2,2,3,1,2,2,3,1,6,4,2,7,4,7,5,5,2,7,2,2,2,19,4,36,34,24,3,4,4,Nuclear,2,18-25,0
3,3,0,0,3,1,1,1,3,3,0,1,1,1,0,1,1,1,1,0,0,4,1,5,0,5,5,6,4,5,5,3,3,2,18,3,16,16,18,2,3,1,Nuclear,2,18-25,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,6,6,6,3,5,5,2,5,3,3,2,18,7,42,42,42,4,4,4,Joint,1,18-25,0
1,2,0,0,1,2,0,0,2,0,0,1,1,2,2,0,2,1,0,1,0,4,4,4,5,6,7,6,2,4,2,2,1,2,21,4,14,14,8,0,2,0,Nuclear,2,18-25,0
2,3,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,2,2,1,0,6,3,6,5,6,2,6,7,4,3,2,2,2,20,5,12,14,6,0,2,0,Nuclear,2,18-25,0
1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,3,1,5,2,6,4,4,2,4,5,3,3,2,22,3,10,2,8,0,0,0,Nuclear,2,18-25,0
2,0,1,0,1,2,0,1,2,1,1,2,2,2,0,1,1,1,1,2,1,6,6,6,6,7,5,7,3,5,3,3,1,2,21,3,22,10,16,2,2,2,Nuclear,2,18-25,0
3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,5,6,3,6,4,6,6,5,1,3,2,2,2,18,6,40,36,42,4,4,4,Joint,1,18-25,0
3,1,2,0,2,2,2,1,2,2,1,3,3,2,1,1,3,2,1,2,2,4,3,5,7,5,4,4,1,4,3,2,3,2,18,4,28,18,30,4,3,3,Nuclear,2,18-25,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,6,3,7,1,6,2,6,3,2,3,2,20,6,4,0,0,0,0,0,Joint,1,18-25,0
3,3,0,3,3,1,2,3,3,1,2,2,1,2,3,1,1,1,3,3,1,4,5,7,6,7,7,5,1,4,1,3,2,2,25,3,28,40,16,2,4,3,Nuclear,2,18-25,0
1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,6,6,7,4,6,6,6,3,6,6,3,3,2,24,2,14,2,6,0,0,0,Nuclear,2,18-25,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,6,2,6,3,7,5,5,5,4,2,2,24,5,6,0,2,0,0,0,Nuclear,2,18-25,0
1,0,1,0,1,1,0,0,3,1,1,1,3,1,1,1,3,0,1,1,3,4,5,6,5,5,5,5,5,2,4,3,2,2,20,5,10,12,26,3,2,0,Nuclear,2,18-25,0
0,0,2,0,3,1,0,0,1,2,2,2,1,1,0,3,3,0,0,0,3,3,2,4,3,5,7,7,3,5,5,4,3,2,23,5,12,2,34,4,0,0,Nuclear,2,18-25,0
3,2,1,2,3,3,3,1,2,2,2,3,3,3,2,3,2,3,1,3,3,3,4,3,2,5,7,6,4,3,4,2,3,2,21,3,36,30,34,4,4,4,Nuclear,2,18-25,0
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,6,7,1,6,2,7,3,7,3,4,1,1,54,6,6,4,0,0,0,0,Joint,1,46-60,3
1,3,2,0,1,3,2,2,1,1,1,2,1,1,2,1,1,2,3,1,1,5,6,6,6,7,5,6,5,5,7,2,2,1,18,3,24,24,16,2,4,2,Nuclear,2,18-25,0
