Algorithms,DepressionAccuracy,AnxietyAccuracy,StressAccuracy
KNN,0.9461358313817331,0.9296252927400468,0.9252927400468384
GaussianNB,0.9025761124121779,0.813231850117096,0.9019906323185012
Decision Tree(Gini),0.8832552693208431,0.8457845433255269,0.8437939110070257
Decision Tree(Entropy),0.8851288056206089,0.8685011709601873,0.8447306791569087
Random Forest,0.9673302107728338,0.9612412177985948,0.955503512880562
SVM,1.0,1.0,1.0
Bagging,0.9792740046838407,0.9710772833723653,0.9717798594847775
Adaboost,1.0,1.0,1.0
